dataset,variant,complete_folds,expected_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
CHSZ,full,27,27,90.8787389758074,7.357838936133603,80.54429762499932,17.459081075530985,75.42023567771679,17.675579682382516,91.47073516824575,6.808679092655196
CHSZ,classical_latent,27,27,89.81236965046743,10.049496496835907,79.1234843260955,17.381447837553598,73.71909030585365,19.029769299501186,90.75636825874838,8.338172070646296
CHSZ,no_entanglement,27,27,89.8513533124605,10.13688652516745,80.5053812504941,17.348967986595678,74.94301459637501,18.64612580889439,90.82641753258652,8.123543535072454
CHSZ,no_reupload,27,27,90.60783117540224,10.277760062942127,81.22916858447525,18.476117175063337,75.7863071478573,19.11544358454992,91.37746333301075,9.145101298676515
CHSZ,uniform_channel_pool,27,27,90.2195110718543,8.010204710723416,80.05605730451433,17.534105094055782,74.84360657460428,17.215366406525906,90.77216643462701,7.670652712855072
CHSZ,no_bilstm,27,27,87.79897229454183,10.802235333437995,72.77533099259088,16.829201244199545,69.5888101613019,16.87263178475233,87.93405465153943,10.690628297422379
CHSZ,linear_classifier,27,27,91.23599849365088,8.707511903904921,81.16607615900446,17.447603783864103,76.55366813087572,18.483942905762536,91.86602585355601,7.536663657292299
CHSZ,no_spectral,27,27,81.17270774582342,20.482532096611784,55.18899369249061,12.336281884342757,49.94091940206288,16.503691803811236,75.8332673933859,25.603584127656173
CHSZ,no_hjorth,27,27,90.73506813274052,8.871209397916326,79.1547894805383,17.275786865099597,75.38933972043066,18.085774644167856,91.2093534534711,8.098702414517964
CHSZ,no_connectivity,27,27,92.3551605603988,7.246476859583558,81.66911748376464,17.94620533051812,77.37225317217938,18.503820892387303,92.71579749658414,6.530618793801955
Sleep-EDF-20,full,20,20,91.07524590809098,3.2145366824442907,76.5792669447556,5.039035386194488,73.06071907236372,5.431192717680397,91.53406652580583,2.7791587544933503
Sleep-EDF-20,classical_latent,20,20,90.67323641593697,3.8672370963292955,76.69073759271427,5.768195118627548,73.03564385463861,6.591727119269549,91.31644877062413,3.3322668951073946
Sleep-EDF-20,no_entanglement,20,20,90.44163939972202,3.9415951468426504,75.41341950162906,6.364261966487116,72.15298612246511,6.166167555263153,90.8405821004315,3.444084244271394
Sleep-EDF-20,no_reupload,20,20,90.2841452301196,3.9866586248446096,75.34323430791812,5.946954950060206,71.8103002407488,6.320572736055986,90.91454366886772,3.305864725920579
Sleep-EDF-20,uniform_channel_pool,20,20,91.26659937805219,3.1969156624366444,76.42591819156362,4.914004476028112,73.44661355892694,4.627560396901345,91.67851520856702,2.7341305776822225
Sleep-EDF-20,no_bilstm,20,20,89.37032766937855,4.098098000734891,72.94557335514625,5.269464386026474,69.64541043274207,5.629628565939781,89.84188432655179,3.4849049491598163
Sleep-EDF-20,linear_classifier,20,20,90.54469470621392,3.610644395082831,74.07831223279666,5.890173733905856,71.04020057060679,6.522847923462864,90.90561550292226,3.188496328072958
Sleep-EDF-20,no_spectral,20,20,86.39255772308769,4.917269813827176,65.46374636531289,6.102044131833489,62.155421298620084,6.606450912051813,86.60597606254234,4.638724587907705
Sleep-EDF-20,no_hjorth,20,20,90.5507065644999,4.181446532956119,75.62254583862665,5.762793692179071,72.35085860447981,6.036579917748403,91.0731523801281,3.597980975168779
Sleep-EDF-20,no_connectivity,20,20,89.82484892757087,4.932741498385913,74.88648777349208,6.529755476197501,71.68325005332386,6.424546354790701,90.48970723586567,3.8840511289000785
