BASE target=P8 epoch=1/100 acc=0.2000 f1=0.1176
BASE target=P8 epoch=2/100 acc=0.3333 f1=0.1667
BASE target=P8 epoch=3/100 acc=0.3333 f1=0.1754
BASE target=P8 epoch=4/100 acc=0.3333 f1=0.1667
BASE target=P8 epoch=5/100 acc=0.3333 f1=0.1754
BASE target=P8 epoch=6/100 acc=0.4000 f1=0.2865
BASE target=P8 epoch=7/100 acc=0.3333 f1=0.1754
BASE target=P8 epoch=8/100 acc=0.4000 f1=0.2804
BASE target=P8 epoch=9/100 acc=0.4667 f1=0.4074
BASE target=P8 epoch=10/100 acc=0.5333 f1=0.4977
BASE target=P8 epoch=11/100 acc=0.6000 f1=0.5694
BASE target=P8 epoch=12/100 acc=0.5333 f1=0.4960
BASE target=P8 epoch=13/100 acc=0.4667 f1=0.3627
BASE target=P8 epoch=14/100 acc=0.5333 f1=0.4960
BASE target=P8 epoch=15/100 acc=0.4667 f1=0.4024
BASE target=P8 epoch=16/100 acc=0.4667 f1=0.3627
BASE target=P8 epoch=17/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=18/100 acc=0.4667 f1=0.3627
BASE target=P8 epoch=19/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=20/100 acc=0.4667 f1=0.3627
BASE target=P8 epoch=21/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=22/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=23/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=24/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=25/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=26/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=27/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=28/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=29/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=30/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=31/100 acc=0.6000 f1=0.4889
BASE target=P8 epoch=32/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=33/100 acc=0.6000 f1=0.4889
BASE target=P8 epoch=34/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=35/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=36/100 acc=0.6000 f1=0.4889
BASE target=P8 epoch=37/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=38/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=39/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=40/100 acc=0.6667 f1=0.5411
BASE target=P8 epoch=41/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=42/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=43/100 acc=0.4667 f1=0.3889
BASE target=P8 epoch=44/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=45/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=46/100 acc=0.5333 f1=0.4940
BASE target=P8 epoch=47/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=48/100 acc=0.6000 f1=0.4889
BASE target=P8 epoch=49/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=50/100 acc=0.6000 f1=0.4889
BASE target=P8 epoch=51/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=52/100 acc=0.6000 f1=0.4889
BASE target=P8 epoch=53/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=54/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=55/100 acc=0.6000 f1=0.4889
BASE target=P8 epoch=56/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=57/100 acc=0.4667 f1=0.3750
BASE target=P8 epoch=58/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=59/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=60/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=61/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=62/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=63/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=64/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=65/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=66/100 acc=0.5333 f1=0.4306
BASE target=P8 epoch=67/100 acc=0.5333 f1=0.4444
BASE target=P8 epoch=68/100 acc=0.5333 f1=0.4306
